Time (s),Left Tibialis Anterior A,Left Medial Gastrocnemius A,Right Tibialis Anterior A,Right Medial Gastrocnemius A,Left Rectus Femoris A,Left Medial Hamstrings A,Right Rectus Femoris A,Right Medial Hamstrings A,Left Peroneus A,Left Soleus A,Right Peroneus A,Right Soleus A
0.0005,3.39E-05,3.00E-05,-4.71E-05,-4.58E-05,2.23E-05,4.40E-05,-6.70E-06,-9.63E-06,4.30E-05,3.48E-05,-0.000103039,8.67E-05
0.001,3.74E-05,3.00E-05,-4.46E-05,-4.33E-05,2.09E-05,4.75E-05,-5.26E-06,-6.76E-06,5.73E-05,3.55E-05,-1.71E-05,9.49E-05
0.0015,4.18E-05,2.65E-05,-3.71E-05,-3.97E-05,2.14E-05,5.19E-05,-3.43E-06,-4.62E-06,6.47E-05,3.23E-05,8.56E-05,9.65E-05
0.002,3.54E-05,2.20E-05,-2.83E-05,-3.80E-05,2.31E-05,5.61E-05,-1.23E-06,-3.68E-06,6.78E-05,2.65E-05,0.00016889,9.30E-05
0.0025,1.51E-05,1.82E-05,-2.06E-05,-3.72E-05,2.50E-05,5.96E-05,3.11E-07,-3.13E-06,6.75E-05,2.12E-05,0.000226196,8.50E-05
0.003,-7.56E-06,1.71E-05,-1.46E-05,-3.57E-05,2.65E-05,6.23E-05,9.32E-07,-2.50E-06,6.32E-05,1.87E-05,0.000262757,7.40E-05
0.0035,-2.16E-05,1.87E-05,-1.04E-05,-3.37E-05,2.76E-05,6.46E-05,1.31E-06,-1.51E-06,5.57E-05,1.78E-05,0.000281571,6.37E-05
0.004,-3.14E-05,2.02E-05,-7.72E-06,-3.31E-05,2.87E-05,6.67E-05,1.71E-06,1.87E-07,4.69E-05,1.57E-05,0.000282578,5.83E-05
0.0045,-4.78E-05,2.01E-05,-5.77E-06,-3.46E-05,2.99E-05,6.74E-05,1.81E-06,1.14E-06,3.92E-05,1.16E-05,0.000269776,5.72E-05
0.005,-6.75E-05,2.01E-05,-6.19E-06,-3.76E-05,3.24E-05,6.71E-05,1.52E-06,-4.07E-07,3.42E-05,7.76E-06,0.000246276,5.28E-05
0.0055,-7.65E-05,2.19E-05,-1.23E-05,-4.18E-05,3.55E-05,6.66E-05,9.13E-07,-3.21E-06,3.07E-05,6.55E-06,0.000193188,3.80E-05
0.006,-6.52E-05,2.53E-05,-2.47E-05,-4.56E-05,3.78E-05,6.61E-05,3.44E-07,-4.88E-06,2.65E-05,9.32E-06,8.62E-05,1.74E-05
0.0065,-3.12E-05,2.85E-05,-3.72E-05,-4.62E-05,3.81E-05,6.53E-05,9.58E-07,-4.53E-06,2.18E-05,1.37E-05,-4.08E-05,6.25E-07
0.007,2.13E-05,3.00E-05,-4.31E-05,-4.29E-05,3.62E-05,6.39E-05,1.93E-06,-2.75E-06,1.81E-05,1.67E-05,-9.84E-05,-7.32E-06
0.0075,7.70E-05,2.81E-05,-4.25E-05,-3.86E-05,3.39E-05,6.20E-05,1.73E-06,-1.34E-06,1.63E-05,1.76E-05,-4.80E-05,-8.25E-06
0.008,0.000115345,2.39E-05,-3.84E-05,-3.63E-05,3.25E-05,6.08E-05,3.01E-07,-1.51E-06,1.58E-05,1.75E-05,5.81E-05,-5.71E-06
0.0085,0.000125368,2.07E-05,-3.44E-05,-3.68E-05,3.20E-05,6.02E-05,-1.72E-06,-3.06E-06,1.63E-05,1.78E-05,0.00014007,-1.16E-06
0.009,0.000109369,1.97E-05,-3.82E-05,-3.99E-05,3.05E-05,5.95E-05,-3.15E-06,-4.69E-06,1.82E-05,1.78E-05,0.000143998,4.69E-06
0.0095,7.89E-05,1.96E-05,-5.25E-05,-4.27E-05,2.79E-05,5.76E-05,-4.01E-06,-6.11E-06,2.12E-05,1.66E-05,6.33E-05,1.01E-05
0.01,4.75E-05,1.81E-05,-6.93E-05,-4.27E-05,2.53E-05,5.48E-05,-4.55E-06,-9.09E-06,2.43E-05,1.51E-05,-7.20E-05,1.23E-05
0.0105,2.57E-05,1.41E-05,-8.11E-05,-4.04E-05,2.29E-05,5.19E-05,-4.45E-06,-1.28E-05,2.48E-05,1.29E-05,-0.000215419,9.33E-06
0.011,1.79E-05,8.44E-06,-8.60E-05,-3.81E-05,2.04E-05,4.96E-05,-4.30E-06,-1.40E-05,2.01E-05,1.01E-05,-0.000313323,2.75E-06
0.0115,2.11E-05,4.73E-06,-8.54E-05,-3.76E-05,1.85E-05,4.74E-05,-4.77E-06,-1.28E-05,1.25E-05,7.82E-06,-0.00033042,-3.00E-06
0.012,2.82E-05,5.21E-06,-8.11E-05,-4.01E-05,1.71E-05,4.56E-05,-5.97E-06,-1.15E-05,8.05E-06,7.34E-06,-0.000281056,-5.47E-06
0.0125,3.27E-05,7.85E-06,-7.53E-05,-4.59E-05,1.65E-05,4.46E-05,-7.34E-06,-1.19E-05,1.12E-05,8.53E-06,-0.000224195,-5.73E-06
0.013,3.42E-05,7.38E-06,-6.86E-05,-5.42E-05,1.65E-05,4.45E-05,-8.41E-06,-1.37E-05,2.04E-05,9.40E-06,-0.000220466,-3.34E-06
0.0135,4.04E-05,2.46E-06,-6.16E-05,-6.31E-05,1.69E-05,4.48E-05,-9.31E-06,-1.54E-05,2.63E-05,8.75E-06,-0.000285634,4.91E-06
0.014,5.89E-05,-3.38E-06,-5.50E-05,-7.09E-05,1.70E-05,4.55E-05,-9.87E-06,-1.58E-05,1.97E-05,7.60E-06,-0.000375436,1.97E-05
0.0145,8.59E-05,-5.81E-06,-4.81E-05,-7.58E-05,1.66E-05,4.69E-05,-9.63E-06,-1.48E-05,3.36E-06,8.05E-06,-0.000423559,3.75E-05
0.015,0.000107357,-3.52E-06,-4.05E-05,-7.69E-05,1.63E-05,4.88E-05,-8.83E-06,-1.39E-05,-1.03E-05,1.06E-05,-0.000395672,5.39E-05
0.0155,0.000108701,2.09E-06,-3.22E-05,-7.46E-05,1.67E-05,5.02E-05,-8.61E-06,-1.41E-05,-1.29E-05,1.42E-05,-0.000295553,6.71E-05
0.016,8.46E-05,8.53E-06,-2.45E-05,-6.99E-05,1.74E-05,5.01E-05,-9.76E-06,-1.55E-05,-5.32E-06,1.81E-05,-0.000137469,7.62E-05
0.0165,4.17E-05,1.32E-05,-1.77E-05,-6.48E-05,1.79E-05,4.92E-05,-1.18E-05,-1.72E-05,7.69E-06,2.15E-05,5.82E-05,8.08E-05
0.017,-5.72E-06,1.54E-05,-1.18E-05,-6.08E-05,1.80E-05,4.82E-05,-1.35E-05,-1.81E-05,2.44E-05,2.32E-05,0.000253163,8.15E-05
0.0175,-4.50E-05,1.44E-05,-7.26E-06,-5.78E-05,1.86E-05,4.83E-05,-1.41E-05,-1.71E-05,4.22E-05,2.21E-05,0.000402232,8.01E-05
0.018,-7.32E-05,9.13E-06,-6.71E-06,-5.50E-05,2.01E-05,4.91E-05,-1.34E-05,-1.49E-05,5.46E-05,1.79E-05,0.000474815,7.83E-05
